mrgid_ter1,name,territory_iso3c,sovereign_iso3c,continent
8652,Aruba,ABW,NLD,Americas
2150,Angola,AGO,AGO,Africa
8643,Anguilla,AIA,GBR,Americas
2153,Albania,ALB,ALB,Europe
2206,United Arab Emirates,ARE,ARE,Asia
2206,"Abu musa, Greater and Lesser Tunb",ARE,ARE,Asia
2149,Argentina,ARG,ARG,Americas
8670,American Samoa,ASM,USA,Oceania
31136,Bassas da India,ATF,FRA,"Southern
Ocean"
8627,Crozet Islands,ATF,FRA,"Southern
Ocean"
48979,Amsterdam and Saint Paul Islands,ATF,FRA,"Southern
Ocean"
8612,Europa Island,ATF,FRA,"Southern
Ocean"
8630,Kerguélen,ATF,FRA,"Southern
Ocean"
8610,Juan de Nova Island,ATF,FRA,"Southern
Ocean"
8645,Antigua and Barbuda,ATG,ATG,Americas
2147,Australia,AUS,AUS,Oceania
14,Belgium,BEL,BEL,Europe
2139,Benin,BEN,BEN,Africa
19095,Saba,BES,NLD,Americas
26525,Sint-Eustatius,BES,NLD,Americas
15074,Bonaire,BES,NLD,Americas
2142,Bangladesh,BGD,BGD,Asia
2174,Bulgaria,BGR,BGR,Europe
2154,Bahrain,BHR,BHR,Asia
2144,Bahamas,BHS,BHS,Americas
19099,Saint-Barthélemy,BLM,FRA,Americas
8681,Belize,BLZ,BLZ,Americas
8636,Bermuda,BMU,GBR,Americas
2143,Brazil,BRA,BRA,Americas
8649,Barbados,BRB,BRB,Americas
8649,Joint regime area Guyana / Barbados,BRB,BRB,Americas
2145,Brunei,BRN,BRN,Asia
8634,Bouvet,BVT,NOR,"Southern
Ocean"
2169,Canada,CAN,CAN,Americas
2169,Overlapping claim: Canada / USA,CAN,CAN,Americas
8589,Cocos Islands,CCK,AUS,Oceania
2165,Chile,CHL,CHL,Americas
25135,Islas San Félix and San Ambrosio,CHL,CHL,Americas
0,Overlapping claim South China Sea,CHN,CHN,Asia
8603,China,CHN,CHN,Asia
2161,Ivory Coast,CIV,CIV,Africa
2170,Cameroon,CMR,CMR,Africa
2198,Democratic Republic of the Congo,COD,COD,Africa
8633,Republic of the Congo,COG,COG,Africa
8672,Cook Islands,COK,NZL,Oceania
2175,Overlapping claim: Venezuela / Colombia / Dominican Republic,COL,COL,Americas
2175,Colombia,COL,COL,Americas
2163,Comores,COM,COM,Africa
2168,Cape Verde,CPV,CPV,Africa
2162,Costa Rica,CRI,CRI,Americas
2162,Joint regime area Costa Rica / Ecuador (Galapagos),CRI,CRI,Americas
8637,Cuba,CUB,CUB,Americas
19143,Curaçao,CUW,NLD,Americas
8590,Christmas Island,CXR,AUS,Oceania
8638,Cayman Islands,CYM,GBR,Americas
2159,Cyprus,CYP,CYP,Asia
2101,Germany,DEU,DEU,Europe
2131,Djibouti,DJI,DJI,Africa
8648,Dominica,DMA,DMA,Americas
2157,Denmark,DNK,DNK,Europe
8640,Dominican Republic,DOM,DOM,Americas
8640,Joint regime area Colombia / Dominican Republic,DOM,DOM,Americas
2152,Algeria,DZA,DZA,Africa
2166,Ecuador,ECU,ECU,Americas
2166,Joint regime area Ecuador / Colombia,ECU,ECU,Americas
3868,Egypt,EGY,EGY,Africa
2111,Eritrea,ERI,ERI,Africa
8617,Western Sahara,ESH,ESH,Africa
2185,Spain,ESP,ESP,Europe
2110,Estonia,EST,EST,Europe
2106,Finland,FIN,FIN,Europe
2108,Fiji,FJI,FJI,Oceania
8623,Falkland Islands,FLK,GBR,Americas
17,France,FRA,FRA,Europe
17,Joint regime area Spain / France,FRA,FRA,Europe
17,Joint regime area Italy / France,FRA,FRA,Europe
3297,Faeroe,FRO,DNK,Europe
3297,Joint regime area Iceland / Denmark (Faeroe Islands),FRO,DNK,Europe
8595,Micronesia,FSM,FSM,Oceania
2104,Gabon,GAB,GAB,Africa
2208,United Kingdom,GBR,GBR,Europe
2208,Joint regime area United Kingdom / Denmark (Faeroe Islands),GBR,GBR,Europe
2102,Georgia,GEO,GEO,Asia
4377,Guernsey,GGY,GBR,Europe
2100,Ghana,GHA,GHA,Africa
3344,Gibraltar,GIB,GIB,Europe
2122,Guinea,GIN,GIN,Africa
8654,Guadeloupe,GLP,FRA,Americas
